County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotimgRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
DOUGLAS COUNTY,CITY OF SUPERIOR,"Wards 4-6,9-12",ZION LUTHERAN CHURCH,"2022 E 2ND ST, SUPERIOR, WI 54880-3602",7153957200,,,-92.049318,46.707732,2016 General Election
DOUGLAS COUNTY,CITY OF SUPERIOR,"Wards 1-3,7-8",CENTRAL ASSEMBLY OF GOD CHURCH,"3000 HAMMOND AVE, SUPERIOR, WI 54880-____",,,Religious,-92.095748,46.703468,2016 General Election
BAYFIELD COUNTY,TOWN OF BAYVIEW,Ward 1,BAYVIEW TOWN HALL,"32030 MAKI RD, WASHBURN, WI 54891-6862",7153732813,,Government,-90.903943,46.70275,2016 General Election
BAYFIELD COUNTY,TOWN OF ORIENTA,Ward 1,ORIENTA TOWN GARAGE,"8090 SORENSON RD, PORT WING, WI 54865",7157743720,MEETING ROOM,Government,-91.4051744342,46.6898734868,2016 General Election
BAYFIELD COUNTY,TOWN OF WASHBURN,Ward 1,WASHBURN TOWN HALL,"30015 COUNTY HIGHWAY C, WASHBURN, WI 54891",7153732330,,Private,-90.9463363141,46.6886101663,2016 General Election
BAYFIELD COUNTY,CITY OF WASHBURN,Ward 1-4,WASHBURN CITY HALL,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",7153736160,,Government,-90.8948560059,46.6715861857,2016 General Election
DOUGLAS COUNTY,TOWN OF CLOVERLAND,Ward 1,CLOVERLAND TOWN HALL,"2763 S STATE ROAD 13, MAPLE, WI 54854-9224",7153642357,,Government,-91.711253,46.663503,2016 General Election
DOUGLAS COUNTY,VILLAGE OF SUPERIOR,Ward 1,SUPERIOR VILLAGE HALL,"6702 OGDEN AVE, SUPERIOR, WI 54880-6012",715-392-8551,,Government,-92.1028612554,46.6580919921,2016 General Election
DOUGLAS COUNTY,VILLAGE OF OLIVER,Ward 1,OLIVER VILLAGE HALL,"2125 E STATE ST, SUPERIOR, WI 54880-8145",7153943171,,Government,-92.196159,46.656418,2016 General Election
DOUGLAS COUNTY,TOWN OF LAKESIDE,Ward 1,LAKESIDE TOWN HALL,"3196 S POPLAR RIVER RD, POPLAR, WI 54864-9253",7153642650,,Government,-91.799304,46.64876,2016 General Election
BAYFIELD COUNTY,TOWN OF TRIPP,Ward 1,TRIPP TOWN COMPLEX,"8590 COUNTY HIGHWAY A, IRON RIVER, WI 54847-7516",7153724351,,Government,-91.3932654262,46.6187097877,2016 General Election
BAYFIELD COUNTY,TOWN OF OULU,Ward 1,OULU TOWN HALL,"2525 W COLBY RD, BRULE, WI 54820",7153724507,,Private,-91.519177705,46.6186521202,2016 General Election
DOUGLAS COUNTY,TOWN OF PARKLAND,Wards 1-2,PARKLAND TOWN HALL,"6221 E VETERANS DR, SOUTH RANGE, WI 54874-0098",7153986016,,Government,-91.983111,46.609292,2016 General Election
ASHLAND COUNTY,TOWN OF SANBORN,Wards 1-2,SANBORN TOWN HALL,"69393 LAKE SHORE DR E, ASHLAND, WI 54806",(715) 682-2677,,Government,-90.7263281196,46.6090618819,2016 General Election
BAYFIELD COUNTY,TOWN OF BARKSDALE,Ward 1,BARKSDALE TOWN HALL,"29025 E ONDOSSAGON RD, ASHLAND, WI 54806-5622",7156823412,,Government,-90.9698512405,46.6016831249,2016 General Election
DOUGLAS COUNTY,TOWN OF AMNICON,Wards 1-2,AMNICON TOWN HALL,"8985 E US HIGHWAY 2, SOUTH RANGE, WI 54874-8814",7153642316,,Government,-91.8370375782,46.6003822535,2016 General Election
DOUGLAS COUNTY,TOWN OF OAKLAND,Wards 1-2,COUNTRY PEACE PRESBYTERIAN CHURCH,"4694 S COUNTY ROAD A, SUPERIOR, WI 54880",2183900008,FELLOWSHIP AREA,,-92.065487,46.593682,2016 General Election
DOUGLAS COUNTY,TOWN OF MAPLE,Ward 1,MAPLE COMMUNITY CENTER,"11037 E US HIGHWAY 2, MAPLE, WI 54854",715363XXXX,,Government,-91.7294588685,46.5896420181,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 7,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.8864747733,46.589306742,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 8,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.8864747733,46.589306742,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 9,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.8864747733,46.589306742,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 10,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.8864747733,46.589306742,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 11,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.8864747733,46.589306742,2016 General Election
DOUGLAS COUNTY,TOWN OF SUPERIOR,Wards 1-2,SUPERIOR TOWN HALL,"4917 S STATE ROAD 35, SUPERIOR, WI 54880-8301",7153998385,,Government,-92.119754,46.58692,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 2,ASHLAND SENIOR COMMUNITY CENTER,"400 CHAPPLE AVE, ASHLAND, WI 54806-1477",7156822776,,Government,-90.8883361816,46.5863380432,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 6,ASHLAND SENIOR COMMUNITY CENTER,"400 CHAPPLE AVE, ASHLAND, WI 54806-1477",7156822776,,Government,-90.8883361816,46.5863380432,2016 General Election
DOUGLAS COUNTY,VILLAGE OF POPLAR,Ward 1,POPLAR VILLAGE HALL,"4932 S VILLAGE RD, POPLAR, WI 54864-0137",7153642391,,Government,-91.797088,46.585297,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 1,ASHLAND NATIONAL GUARD ARMORY,"420 SANBORN AVE, ASHLAND, WI 54806-2450",7156823334,,Government,-90.9061709837,46.5784060111,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 3,ASHLAND NATIONAL GUARD ARMORY,"420 SANBORN AVE, ASHLAND, WI 54806-2450",7156823334,,Government,-90.9061709837,46.5784060111,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 4,ASHLAND NATIONAL GUARD ARMORY,"420 SANBORN AVE, ASHLAND, WI 54806-2450",7156823334,,Government,-90.9061709837,46.5784060111,2016 General Election
ASHLAND COUNTY,CITY OF ASHLAND,Ward 5,ASHLAND NATIONAL GUARD ARMORY,"420 SANBORN AVE, ASHLAND, WI 54806-2450",7156823334,,Government,-90.9061709837,46.5784060111,2016 General Election
BAYFIELD COUNTY,CITY OF ASHLAND,Ward 12,ASHLAND NATIONAL GUARD ARMORY,"420 SANBORN AVE, ASHLAND, WI 54806-2450",7156823334,,Government,-90.9061709837,46.5784060111,2016 General Election
BAYFIELD COUNTY,TOWN OF EILEEN,Ward 1-2,Eileen Conference Building,"68760 STATE FARM RD, ASHLAND, WI 54806-9338",7156825070,,Private,-90.9706984841,46.5725222391,2016 General Election
BAYFIELD COUNTY,TOWN OF PILSEN,Ward 1,PILSEN TOWN HALL,"23700 PILSEN HALL RD, ASHLAND, WI 54806",7157462933,,Government,-91.080977,46.571645,2016 General Election
BAYFIELD COUNTY,TOWN OF IRON RIVER,Ward 1-2,IRON RIVER COMMUNITY CENTER,"8275 E MILL ST, IRON RIVER, WI 54847-3453",7153725457,,Government,-91.402815,46.563684,2016 General Election
DOUGLAS COUNTY,TOWN OF BRULE,Wards 1-2,BRULE TOWN HALL,"5814 S MAPLE ST, BRULE, WI 54820",7153724872,,Government,-91.575509,46.552613,2016 General Election
ASHLAND COUNTY,TOWN OF GINGLES,Ward 1,GINGLES TOWN HALL,"49833 STATE HIGHWAY 112, ASHLAND, WI 54806-4411",(715) 682-5343,,Government,-90.9071502686,46.5420837402,2016 General Election
BAYFIELD COUNTY,TOWN OF HUGHES,Ward 1,HUGHES TOWN HALL,"66225 HUGHES TOWN HALL RD, IRON RIVER, WI 54847-4815",7153724375,,Government,-91.4964294434,46.5348701477,2016 General Election
BAYFIELD COUNTY,TOWN OF KEYSTONE,Ward 1,KEYSTONE TOWN HALL,"23960 KLOBUCHER RD, MASON, WI 54856",7157462328,,Private,-91.0814847797,46.5309049934,2016 General Election
DOUGLAS COUNTY,VILLAGE OF LAKE NEBAGAMON,Wards 1-2,LAKE NEBAGAMON VILLAGE HALL,"11596 E WATERFRONT DR, LK NEBAGAMON, WI 54849-6001",7153743101,AUDITORIUM,Government,-91.699427,46.513541,2016 General Election
DOUGLAS COUNTY,TOWN OF HAWTHORNE,Wards 1-2,HAWTHORNE TOWN HALL,"7221 S TOWN HALL ROAD, HAWTHORNE, WI 54842-0142",7153743403,,Government,-91.860768,46.501907,2016 General Election
IRON COUNTY,TOWN OF SAXON,Ward 1,SAXON COMMUNITY CENTER,"14280 N CHURCH ST, SAXON, WI 54559",(715) 893-2226,,Government,-90.414134,46.492413,2016 General Election
BAYFIELD COUNTY,TOWN OF MASON,Ward 1,MASON TOWN HALL,"62655 BENOIT RD, MASON, WI 54856-9366",7157654711,,Government,-91.1136484891,46.4798752964,2016 General Election
DOUGLAS COUNTY,TOWN OF SUMMIT,Wards 1-2,SUMMIT TOWN HALL,"2731 E MILCHESKY RD, FOXBORO, WI 54836",7153992693,,Government,-92.15821,46.476586,2016 General Election
IRON COUNTY,TOWN OF GURNEY,Ward 1,GURNEY COMMUNITY CENTER,"11322 W CYS RD, GURNEY, WI 54559",(715) 893-2307,,Government,-90.509309,46.473904,2016 General Election
IRON COUNTY,TOWN OF KIMBALL,Ward 1,KIMBALL COMMUNITY CENTER,"5708 W CENTER DR, HURLEY, WI 54534-9078",7158932469,,Government,-90.2156143188,46.4728851318,2016 General Election
BAYFIELD COUNTY,TOWN OF DELTA,Ward 1,DELTA TOWN HALL,"15990 COUNTY HIGHWAY H, MASON, WI 54856-9530",7153724747,,Private,-91.2407402694,46.4714920521,2016 General Election
IRON COUNTY,CITY OF HURLEY,Ward 1,HURLEY CITY HALL,"405 5TH AVE N, HURLEY, WI 54534-1178",,,Government,-90.186092,46.453277,2016 General Election
IRON COUNTY,CITY OF HURLEY,Ward 2,HURLEY CITY HALL,"405 5TH AVE N, HURLEY, WI 54534-1178",,,Government,-90.186092,46.453277,2016 General Election
IRON COUNTY,CITY OF HURLEY,Ward 3,HURLEY CITY HALL,"405 5TH AVE N, HURLEY, WI 54534-1178",,,Government,-90.186092,46.453277,2016 General Election
IRON COUNTY,CITY OF HURLEY,Ward 4,HURLEY CITY HALL,"405 5TH AVE N, HURLEY, WI 54534-1178",,,Government,-90.186092,46.453277,2016 General Election
DOUGLAS COUNTY,TOWN OF BENNETT,Ward 1,BENNETT TOWN HALL,"9215 E COUNTY ROAD L, BENNETT, WI 54873",7153752865,,Government,-91.8194215,46.4458078891,2016 General Election
BAYFIELD COUNTY,TOWN OF KELLY,Ward 1,KELLY TOWN HALL,"27525 MAPLE RIDGE RD, MASON, WI 54856",7157654662,,Government,-90.9962844104,46.4447571337,2016 General Election
ASHLAND COUNTY,TOWN OF WHITE RIVER,Wards 1-2,WHITE RIVER TOWN HALL,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806",(715) 278-3752,,Government,-90.8865127563,46.4427642822,2016 General Election
BAYFIELD COUNTY,VILLAGE OF MASON,Ward 1,MASON AREA RURAL FIRE DEPARTMENT,"24450 COUNTY HWY E, MASON, WI 54856-4070",7157654449,,Government,-91.062868,46.435055,2016 General Election
IRON COUNTY,CITY OF MONTREAL,Ward 1-2,MONTREAL CITY HALL,"54 WISCONSIN AVE, MONTREAL, WI 54550-9701",7155614955,,Government,-90.2313599735,46.4310986549,2016 General Election
DOUGLAS COUNTY,TOWN OF HIGHLAND,Ward 1,HIGHLAND TOWN HALL,"9360 S COUNTY RD S, LAKE NEBAGAMON, WI 54849",7157952559,,Government,-91.6695,46.424946,2016 General Election
IRON COUNTY,TOWN OF PENCE,Ward 1,PENCE COMMUNITY CENTER,"6745 W STATE HIGHWAY 77, MONTREAL, WI 54550-9222",(715) 862-0833,,Government,-90.2724869549,46.4160642028,2016 General Election
IRON COUNTY,TOWN OF CAREY,Ward 1,CAREY TOWN HALL,"12005 N HAKALA RD, HURLEY, WI 54534-9210",(715) 476-2275,,Government,-90.196708,46.409178,2016 General Election
ASHLAND COUNTY,TOWN OF MARENGO,Wards 1-2,MARENGO TOWN HALL,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409",(715) 274-4700,,Government,-90.8507156372,46.4066772461,2016 General Election
IRON COUNTY,TOWN OF KNIGHT,Ward 1,IRON BELT COMMUNITY CENTER,"11778 N JOHNSON ST, IRON BELT, WI 54536",7155612091,,Government,-90.3212904185,46.4019028097,2016 General Election
ASHLAND COUNTY,TOWN OF ASHLAND,Ward 1,ASHLAND TOWN HALL,"39227 STATE HIGHWAY 13, HIGH BRIDGE, WI 54846-3308",7152744700,,Government,-90.73462677,46.3887786865,2016 General Election
IRON COUNTY,TOWN OF ANDERSON,Ward 1,UPSON TOWN HALL,"10886 N HWY 122, UPSON, WI 54565",7155619970,,Government,-90.408051,46.370714,2016 General Election
IRON COUNTY,TOWN OF OMA,Ward 1,OMA TOWN HALL,"4514 W TOWN HALL RD, HURLEY, WI 54534",7155612395,,Government,-90.1618183404,46.3697940856,2016 General Election
BAYFIELD COUNTY,TOWN OF GRAND VIEW,Ward 1,GRAND VIEW TOWN HALL,"22010 GRANDVIEW BLVD, GRAND VIEW, WI 54839",7157633151,,Government,-91.1087802798,46.3696277887,2016 General Election
BAYFIELD COUNTY,TOWN OF LINCOLN,Ward 1,LINCOLN TOWN HALL,"28985 E ALTAMONT RD, MASON, WI 54856-4038",7157654291,,Private,-90.966456905,46.3556568325,2016 General Election
DOUGLAS COUNTY,TOWN OF SOLON SPRINGS,Wards 1-3,SOLON SPRINGS TOWN HALL,"11407 S CEMETERY RD, SOLON SPRINGS, WI 54873-8353",715-378-2295,,Government,-91.84172,46.352414,2016 General Election
DOUGLAS COUNTY,VILLAGE OF SOLON SPRINGS,Ward 1,SOLON SPRINGS COMMUNITY CENTER,"11523 S BUS HIGHWAY 53, SOLON SPRINGS, WI 54873",7153782235,,Government,-91.820794,46.348157,2016 General Election
BAYFIELD COUNTY,TOWN OF BARNES,Ward 1,BARNES TOWN HALL,"3360 COUNTY HWY N, BARNES, WI 54873-6106",7157952782,,Government,-91.503136,46.345973,2016 General Election
BAYFIELD COUNTY,TOWN OF DRUMMOND,Ward 1,DRUMMOND CIVIC CENTER,"52540 FRONT AVE, DRUMMOND, WI 54832-4506",7157396662,,Private,-91.258312,46.337545,2016 General Election
ASHLAND COUNTY,CITY OF MELLEN,Ward 1,MELLEN LIBRARY/SENIOR CITIZEN CENTER,"106 IRON ST, MELLEN, WI 54546-9798",7152742131,,Government,-90.658669,46.327243,2016 General Election
ASHLAND COUNTY,TOWN OF MORSE,Wards 1-3,MORSE TOWN HALL,"402 2ND AVE, MELLEN, WI 54546-8904",(715) 274-2126,,Government,-90.6558914185,46.3190116882,2016 General Election
VILAS COUNTY,TOWN OF PRESQUE ISLE,Ward 1,PRESQUE ISLE TOWN HALL,"8306 SCHOOL LOOP RD, PRESQUE ISLE, WI 54557",7156862725,,Government,-89.726922,46.248865,2016 General Election
DOUGLAS COUNTY,TOWN OF GORDON,Ward 1,GORDON TOWN HALL,"9709 E COUNTY ROAD Y, GORDON, WI 54838",7153762693,,Government,-91.7960829288,46.2446489185,2016 General Election
DOUGLAS COUNTY,TOWN OF DAIRYLAND,Ward 1,DAIRYLAND TOWN HALL,"15208 S STATE HIGHWAY 35, DAIRYLAND, WI 54830",7152443317,,Government,-92.152985,46.212874,2016 General Election
VILAS COUNTY,TOWN OF WINCHESTER,Ward 1,WINCHESTER TOWN HALL,"10363 COUNTY RD W, WINCHESTER, WI 54557-9101",7156867103,,Government,-89.887290895,46.2111085653,2016 General Election
BAYFIELD COUNTY,TOWN OF CABLE,Ward 1,CABLE COMMUNITY CENTER,"13660 COUNTY HIGHWAY M, CABLE, WI 54821",7157984440,,Private,-91.288038,46.208643,2016 General Election
BAYFIELD COUNTY,TOWN OF NAMAKAGON,Ward 1,NAMAKAGON TOWN HALL,"23845 COUNTY HIGHWAY M, CABLE, WI 54821",7157942666,,Government,-91.0683325678,46.1967057735,2016 General Election
DOUGLAS COUNTY,TOWN OF WASCOTT,Ward 1,WASCOTT TOWN HALL,"16362 S TOWN HALL RD, MINONG, WI 54859",7154664252,,Government,-91.8018107861,46.173183471,2016 General Election
ASHLAND COUNTY,TOWN OF GORDON,Wards 1-2,GORDON TOWN HALL,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155",(715) 264-2460,,Government,-90.610547,46.168815,2016 General Election
IRON COUNTY,TOWN OF MERCER,Wards 1-4,Mercer Community Center,"2648 W MARGARET ST, MERCER, WI 54547-9186",(715) 476-2403,,Government,-90.0628738403,46.1679115295,2016 General Election
BURNETT COUNTY,TOWN OF BLAINE,Ward 1,NORTHLAND COMMUNITY CENTER,"1232 E SCHOOL RD, DANBURY, WI 54830-9014",7152443910,,Government,-92.235437,46.164367,2016 General Election
VILAS COUNTY,TOWN OF LAND O-LAKES,Ward 1,LAND O'LAKES TOWN HALL,"4331 COUNTY ROAD B, LAND O LAKES, WI 54540-9635",7155473255,,Government,-89.2223205566,46.1607780457,2016 General Election
ASHLAND COUNTY,TOWN OF JACOBS,Ward 1,JACOBS TOWN HALL,"273 GRANT ST, GLIDDEN, WI 54527",(715) 264-4851,,Government,-90.5764295161,46.135449484,2016 General Election
VILAS COUNTY,TOWN OF MANITOWISH WATERS,Ward 1,MANITOWISH WATERS TOWN HALL,"4 AIRPORT RD, MANITOWISH WATERS, WI 54545",7155438400,,Government,-89.8748931885,46.1247673035,2016 General Election
ASHLAND COUNTY,TOWN OF SHANAGOLDEN,Ward 1,SHANAGOLDEN TOWN HALL,"74268 MERTIG RD, GLIDDEN, WI 54527-9737",7152645899,,Government,-90.627713,46.117861,2016 General Election
VILAS COUNTY,TOWN OF BOULDER JUNCTION,Wards 1-2,BOULDER JUNCTION COMMUNITY CENTER,"5386 PARK ST, BOULDER JCT, WI 54512-9605",7153852220,,Government,-89.6418667585,46.1086273938,2016 General Election
WASHBURN COUNTY,TOWN OF FROG CREEK,Ward 1,FROG CREEK TOWN HALL,"N13010 FROG CREEK RD, MINONG, WI 54859",715/466-29,,Government,-91.77682,46.103679,2016 General Election
WASHBURN COUNTY,VILLAGE OF MINONG,Ward 1,MINONG VILLAGE HALL,"123 5TH AVE W, MINONG, WI 54859-4400",7154662322,,Government,-91.821095,46.099886,2016 General Election
WASHBURN COUNTY,TOWN OF MINONG,Wards 1-2,MINONG TOWN HALL,"W7095 NANCY LAKE RD, MINONG, WI 54859-9275",7154662053,,Government,-91.902404,46.099461,2016 General Election
ASHLAND COUNTY,TOWN OF PEEKSVILLE,Wards 1-2,PEEKSVILLE TOWN HALL,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195",7152642418,,Government,-90.534973,46.098649,2016 General Election
SAWYER COUNTY,TOWN OF SPIDER LAKE,Ward 1,SPIDER LAKE TOWN HALL,"10896 W TOWN HALL RD, HAYWARD, WI 54843-5115",7154623977,,Government,-91.2272574753,46.0746639222,2016 General Election
SAWYER COUNTY,TOWN OF LENROOT,Wards 1-2,LENROOT TOWN HALL,"12215 N US HIGHWAY 63, HAYWARD, WI 54843-5357",7156345673,,Government,-91.423932,46.074199,2016 General Election
VILAS COUNTY,TOWN OF PHELPS,Wards 1-2,PHELPS FIRE HALL,"4495 TOWN HALL RD, PHELPS, WI 54554-9273",7155452270,,Government,-89.0838975459,46.0653620213,2016 General Election
SAWYER COUNTY,TOWN OF HAYWARD,Wards 1-8,HAYWARD TOWN HALL,"15460 W STATE ROAD 77, HAYWARD, WI 54843-5404",(715) 634-4123,,Government,-91.495840475,46.0559374094,2016 General Election
WASHBURN COUNTY,TOWN OF CHICOG,Wards 1-2,CHICOG TOWN HALL,"W8499 HIGHWAY 77, TREGO, WI 54888-9158",7154664502,,Government,-91.962343,46.055735,2016 General Election
VILAS COUNTY,TOWN OF CONOVER,Wards 1-2,CONOVER TOWN HALL,"4665 COUNTY ROAD K E, CONOVER, WI 54519-9401",7154798688,,Government,-89.250685,46.050569,2016 General Election
BURNETT COUNTY,TOWN OF WEBB LAKE,Ward 1,WEBB LAKE TOWN HALL,"31000 NAMEKAGON RD, WEBB LAKE, WI 54830-8915",7152597947,,Government,-92.1020050049,46.0355300903,2016 General Election
IRON COUNTY,TOWN OF SHERMAN,Ward 1,SHERMAN TOWN HALL,"3063 W STATE HIGHWAY 182, PARK FALLS, WI 54552-9259",7155834422,,Government,-90.0828386843,46.0263935477,2016 General Election
ASHLAND COUNTY,TOWN OF AGENDA,Ward 1,AGENDA TOWN HALL,"13922 AGENDA RD, BUTTERNUT, WI 54514-8681",7157693538,,Government,-90.446685791,46.0233306885,2016 General Election
SAWYER COUNTY,TOWN OF ROUND LAKE,Wards 1-2,ROUND LAKE TOWN HALL,"10625 N COUNTY ROAD A, HAYWARD, WI 54843-3400",7154629271,,Government,-91.1978115141,46.0143685341,2016 General Election
SAWYER COUNTY,CITY OF HAYWARD,Wards 1-6,CITY OF HAYWARD - CITY HALL,"15889 W 3RD ST, HAYWARD, WI 54843-7110",7156342311,,Government,-91.4874827117,46.0139708966,2016 General Election
ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Wards 1-2,BUTTERNUT VILLAGE HALL,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782",7157693113,,Government,-90.4954528809,46.012260437,2016 General Election
ASHLAND COUNTY,TOWN OF CHIPPEWA,Ward 1,CHIPPEWA TOWN HALL,"77504 WEST RD, BUTTERNUT, WI 54514-9154",(715) 769-3126,,Government,-90.5616149902,46.0116386414,2016 General Election
BURNETT COUNTY,TOWN OF SWISS,Ward 1-2,SWISS TOWN HALL,"7551 MAIN ST, DANBURY, WI 54830-4405",715-656-30,,Government,-92.371467,46.006722,2016 General Election
WASHBURN COUNTY,TOWN OF STINNETT,Ward 1,STINNETT TOWN HALL,"N10361 COUNTY HIGHWAY M, SPRINGBROOK, WI 54875-9539",7156348783,,Government,-91.626465,46.006688,2016 General Election
WASHBURN COUNTY,TOWN OF GULL LAKE,Ward 1,GULL LAKE TOWN HALL,"W3494 HADDICK RD, SPRINGBROOK, WI 54875",7154664665,,Government,-91.713932,45.99814,2016 General Election
VILAS COUNTY,TOWN OF PLUM LAKE,Wards 1-2,PLUM LAKE TOWN HALL,"235 LAKE ST, SAYNER, WI 54560-9701",7155424039,,Government,-89.5294258744,45.9931274503,2016 General Election
FOREST COUNTY,TOWN OF ALVIN,Ward 1,ALVIN TOWN HALL,"16942 STATE HIGHWAY 55, ALVIN, WI 54542-9410",7155452492,,Government,-88.83069,45.984726,2016 General Election
WASHBURN COUNTY,TOWN OF BROOKLYN,Ward 1,BROOKLYN TOWN HALL,"N9689 BIRCHWOOD DR, TREGO, WI 54888",7154662873,,Government,-91.826033,45.982882,2016 General Election
VILAS COUNTY,TOWN OF LAC DU FLAMBEAU,Wards 1-7,LAC DU FLAMBEAU TOWN HALL,"109 OLD ABE RD, LAC DU FLAMBEAU, WI 54538-9386",7155883358,,Government,-89.880544,45.977238,2016 General Election
SAWYER COUNTY,TOWN OF HUNTER,Ward 1,HUNTER TOWN HALL,"9316 N COUNTY ROAD CC, HAYWARD, WI 54843-6616",7154623957,,Government,-91.2348360568,45.9711601585,2016 General Election
VILAS COUNTY,TOWN OF WASHINGTON,Wards 1-3,WASHINGTON TOWN HALL,"2301 TOWN HALL RD, EAGLE RIVER, WI 54521",7154798091,,Government,-89.2171403021,45.9617965668,2016 General Election
WASHBURN COUNTY,TOWN OF BASS LAKE,Ward 1,BASS LAKE TOWN HALL,"W2103 TOWN HALL RD, SPRINGBROOK, WI 54875",7157662706,,Government,-91.6485889256,45.9569826722,2016 General Election
BURNETT COUNTY,TOWN OF UNION,Ward 1,UNION TOWN HALL,"9015 COUNTY ROAD F, DANBURY, WI 54830-9121",7158667182,,Government,-92.447115,45.952419,2016 General Election
BURNETT COUNTY,TOWN OF SCOTT,Ward 1-2,SCOTT TOWN HALL,"28390 COUNTY ROAD H, SPOONER, WI 54801-8961",715-635-2308,,Government,-92.1046409011,45.9430043399,2016 General Election
PRICE COUNTY,TOWN OF EISENSTEIN,Wards 1-2,EISENSTEIN TOWN HALL,"N15664 TOWN HALL RD, PARK FALLS, WI 54552-8068",7157622508,,Government,-90.426514,45.937443,2016 General Election
PRICE COUNTY,CITY OF PARK FALLS,Wards 1-7,PARK FALLS CITY HALL,"400 4TH AVE S, PARK FALLS, WI 54552-1175",7157622436,,Government,-90.452218,45.931663,2016 General Election
BURNETT COUNTY,TOWN OF JACKSON,Ward 1,JACKSON TOWN HALL,"4599 COUNTY ROAD A, WEBSTER, WI 54893-8874",715-866-8404,,Government,-92.2202987671,45.9285774231,2016 General Election
BURNETT COUNTY,TOWN OF OAKLAND,Ward 1-2,OAKLAND TOWN HALL,"27826 LONE PINE RD, WEBSTER, WI 54893",7158668213,,Government,-92.367015928,45.9244769812,2016 General Election
